# boron_feed,boron_limit,LCOW,SEC,SEC_Boron,Recovery,RO1_Boron_rej,HCl dose,RO2_Boron_rej,NaOH dose,RO1_Feed_pH,RO2_Feed_pH,pH recycle,pH mix,Mem Area RO1,Mem Area RO2,P1,P2
1.000000e-03,3.000000e-04,9.899062e-01,5.437545e+00,3.841081e+00,5.000000e-01,5.000000e-01,5.990064e+01,5.714286e-01,3.418615e+00,5.500000e+00,8.337470e+00,8.383228e+00,7.601454e+00,1.318631e+02,5.911230e+01,6.461522e+06,1.257417e+06
1.000000e-03,5.000000e-04,9.888424e-01,5.437545e+00,3.954580e+00,5.000000e-01,5.000000e-01,5.972714e+01,5.292161e-01,1.982085e+00,5.500000e+00,8.000001e+00,8.045758e+00,7.587691e+00,1.318632e+02,5.911227e+01,6.461521e+06,1.257418e+06
1.000000e-03,1.000000e-03,9.888424e-01,5.437545e+00,3.954580e+00,5.000000e-01,5.000000e-01,5.972714e+01,5.292161e-01,1.982085e+00,5.500000e+00,8.000001e+00,8.045758e+00,7.587691e+00,1.318632e+02,5.911227e+01,6.461521e+06,1.257418e+06
1.000000e-03,2.400000e-03,9.888424e-01,5.437545e+00,3.954580e+00,5.000000e-01,5.000000e-01,5.972714e+01,5.292161e-01,1.982085e+00,5.500000e+00,8.000001e+00,8.045758e+00,7.587691e+00,1.318632e+02,5.911227e+01,6.461521e+06,1.257418e+06
5.000000e-03,3.000000e-04,1.029972e+00,5.437531e+00,5.720744e-01,5.000000e-01,5.000000e-01,6.514221e+01,9.361702e-01,5.987803e+01,5.500000e+00,1.092916e+01,1.097492e+01,8.023880e+00,1.318651e+02,5.911230e+01,6.461502e+06,1.257419e+06
5.000000e-03,5.000000e-04,1.012316e+00,5.437537e+00,5.975006e-01,5.000000e-01,5.000000e-01,6.300387e+01,8.888889e-01,3.468587e+01,5.500000e+00,1.051445e+01,1.056021e+01,7.869632e+00,1.318643e+02,5.911229e+01,6.461510e+06,1.257419e+06
5.000000e-03,1.000000e-03,9.988086e-01,5.437541e+00,6.721888e-01,5.000000e-01,5.000000e-01,6.126815e+01,7.500000e-01,1.559434e+01,5.500000e+00,9.541513e+00,9.587271e+00,7.724536e+00,1.318637e+02,5.911228e+01,6.461517e+06,1.257418e+06
5.000000e-03,2.400000e-03,9.888424e-01,5.437545e+00,7.909160e-01,5.000000e-01,5.000000e-01,5.972714e+01,5.292161e-01,1.982085e+00,5.500000e+00,8.000001e+00,8.045758e+00,7.587691e+00,1.318632e+02,5.911227e+01,6.461521e+06,1.257418e+06
1.000000e-02,3.000000e-04,1.068336e+00,5.437517e+00,2.771900e-01,5.000000e-01,5.000000e-01,6.975322e+01,9.690722e-01,1.146834e+02,5.500000e+00,1.130333e+01,1.134909e+01,8.276104e+00,1.318669e+02,5.911233e+01,6.461484e+06,1.257420e+06
1.000000e-02,5.000000e-04,1.038500e+00,5.437528e+00,2.830261e-01,5.000000e-01,5.000000e-01,6.616819e+01,9.473684e-01,7.205885e+01,5.500000e+00,1.104405e+01,1.108981e+01,8.088412e+00,1.318655e+02,5.911231e+01,6.461498e+06,1.257419e+06
1.000000e-02,1.000000e-03,1.012316e+00,5.437537e+00,2.987503e-01,5.000000e-01,5.000000e-01,6.300387e+01,8.888889e-01,3.468587e+01,5.500000e+00,1.051445e+01,1.056021e+01,7.869632e+00,1.318643e+02,5.911229e+01,6.461510e+06,1.257419e+06
1.000000e-02,2.400000e-03,9.948154e-01,5.437543e+00,3.537836e-01,5.000000e-01,5.000000e-01,6.068117e+01,6.842106e-01,1.008481e+01,5.500000e+00,9.114164e+00,9.159922e+00,7.672230e+00,1.318635e+02,5.911228e+01,6.461518e+06,1.257418e+06
1.500000e-02,3.000000e-04,1.097250e+00,5.437507e+00,1.829073e-01,5.000000e-01,5.000000e-01,7.318719e+01,9.795918e-01,1.560643e+02,5.500000e+00,1.146073e+01,1.150649e+01,8.419017e+00,1.318683e+02,5.911235e+01,6.461470e+06,1.257421e+06
1.500000e-02,5.000000e-04,1.061513e+00,5.437519e+00,1.854306e-01,5.000000e-01,5.000000e-01,6.893611e+01,9.655172e-01,1.049305e+02,5.500000e+00,1.125620e+01,1.130196e+01,8.237522e+00,1.318666e+02,5.911232e+01,6.461487e+06,1.257420e+06
1.500000e-02,1.000000e-03,1.025585e+00,5.437532e+00,1.920536e-01,5.000000e-01,5.000000e-01,6.461218e+01,9.285714e-01,5.361711e+01,5.500000e+00,1.085595e+01,1.090170e+01,7.988293e+00,1.318649e+02,5.911230e+01,6.461504e+06,1.257419e+06
1.500000e-02,2.400000e-03,1.002751e+00,5.437540e+00,2.133932e-01,5.000000e-01,5.000000e-01,6.180489e+01,8.095238e-01,2.111162e+01,5.500000e+00,9.936486e+00,9.982243e+00,7.771123e+00,1.318638e+02,5.911228e+01,6.461515e+06,1.257418e+06
2.000000e-02,3.000000e-04,1.120017e+00,5.437499e+00,1.364840e-01,5.000000e-01,5.000000e-01,7.589440e+01,9.847716e-01,1.886396e+02,5.500000e+00,1.155354e+01,1.159930e+01,8.511159e+00,1.318694e+02,5.911236e+01,6.461459e+06,1.257422e+06
2.000000e-02,5.000000e-04,1.080835e+00,5.437513e+00,1.378841e-01,5.000000e-01,5.000000e-01,7.123481e+01,9.743590e-01,1.325761e+02,5.500000e+00,1.137847e+01,1.142423e+01,8.341505e+00,1.318675e+02,5.911234e+01,6.461478e+06,1.257421e+06
2.000000e-02,1.000000e-03,1.038500e+00,5.437528e+00,1.415131e-01,5.000000e-01,5.000000e-01,6.616819e+01,9.473684e-01,7.205885e+01,5.500000e+00,1.104405e+01,1.108981e+01,8.088412e+00,1.318655e+02,5.911231e+01,6.461498e+06,1.257419e+06
2.000000e-02,2.400000e-03,1.008054e+00,5.437538e+00,1.527701e-01,5.000000e-01,5.000000e-01,6.248266e+01,8.636364e-01,2.861320e+01,5.500000e+00,1.032012e+01,1.036588e+01,7.827442e+00,1.318641e+02,5.911229e+01,6.461512e+06,1.257418e+06
2.500000e-02,3.000000e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.500000e-02,5.000000e-04,1.097250e+00,5.437507e+00,1.097444e-01,5.000000e-01,5.000000e-01,7.318719e+01,9.795918e-01,1.560643e+02,5.500000e+00,1.146073e+01,1.150649e+01,8.419017e+00,1.318683e+02,5.911235e+01,6.461470e+06,1.257421e+06
2.500000e-02,1.000000e-03,1.050500e+00,5.437523e+00,1.120311e-01,5.000000e-01,5.000000e-01,6.760793e+01,9.583333e-01,8.920621e+01,5.500000e+00,1.116734e+01,1.121310e+01,8.170149e+00,1.318661e+02,5.911232e+01,6.461492e+06,1.257420e+06
2.500000e-02,2.400000e-03,1.013401e+00,5.437536e+00,1.189714e-01,5.000000e-01,5.000000e-01,6.313536e+01,8.938053e-01,3.623455e+01,5.500000e+00,1.055395e+01,1.059971e+01,7.880040e+00,1.318643e+02,5.911229e+01,6.461510e+06,1.257419e+06
