# Water Recovery,Feed Mass NaCl,RO membrane area,Pump 1 pressure,Levelized Cost of Water
3.000000e-01,5.000000e-03,8.114428e+01,1.569974e+06,3.590956e-01
3.000000e-01,1.555556e-02,8.762828e+01,2.609964e+06,5.311273e-01
3.000000e-01,2.611111e-02,9.533548e+01,3.626266e+06,7.025490e-01
3.000000e-01,3.666667e-02,8.894157e+01,4.806723e+06,8.774939e-01
3.000000e-01,4.722222e-02,6.670444e+01,6.402084e+06,1.092561e+00
3.000000e-01,5.777778e-02,nan,nan,nan
3.000000e-01,6.833333e-02,nan,nan,nan
3.000000e-01,7.888889e-02,nan,nan,nan
3.000000e-01,8.944444e-02,nan,nan,nan
3.000000e-01,1.000000e-01,nan,nan,nan
4.000000e-01,5.000000e-03,9.444581e+01,1.764123e+06,3.080872e-01
4.000000e-01,1.555556e-02,1.030547e+02,2.899572e+06,4.508550e-01
4.000000e-01,2.611111e-02,1.168518e+02,3.947171e+06,5.906468e-01
4.000000e-01,3.666667e-02,1.102725e+02,5.190198e+06,7.290496e-01
4.000000e-01,4.722222e-02,8.180806e+01,6.998360e+06,9.077631e-01
4.000000e-01,5.777778e-02,nan,nan,nan
4.000000e-01,6.833333e-02,nan,nan,nan
4.000000e-01,7.888889e-02,nan,nan,nan
4.000000e-01,8.944444e-02,nan,nan,nan
4.000000e-01,1.000000e-01,nan,nan,nan
5.000000e-01,5.000000e-03,1.066888e+02,1.956968e+06,2.763214e-01
5.000000e-01,1.555556e-02,1.186330e+02,3.203383e+06,4.041562e-01
5.000000e-01,2.611111e-02,1.452888e+02,4.147349e+06,5.190730e-01
5.000000e-01,3.666667e-02,1.185485e+02,5.711641e+06,6.400390e-01
5.000000e-01,4.722222e-02,9.548336e+01,7.569813e+06,7.931568e-01
5.000000e-01,5.777778e-02,nan,nan,nan
5.000000e-01,6.833333e-02,nan,nan,nan
5.000000e-01,7.888889e-02,nan,nan,nan
5.000000e-01,8.944444e-02,nan,nan,nan
5.000000e-01,1.000000e-01,nan,nan,nan
6.000000e-01,5.000000e-03,1.185630e+02,2.166505e+06,2.561272e-01
6.000000e-01,1.555556e-02,1.452612e+02,3.427472e+06,3.759095e-01
6.000000e-01,2.611111e-02,1.215471e+02,5.079653e+06,4.853947e-01
6.000000e-01,3.666667e-02,9.652836e+01,7.119781e+06,6.248626e-01
6.000000e-01,4.722222e-02,nan,nan,nan
6.000000e-01,5.777778e-02,nan,nan,nan
6.000000e-01,6.833333e-02,nan,nan,nan
6.000000e-01,7.888889e-02,nan,nan,nan
6.000000e-01,8.944444e-02,nan,nan,nan
6.000000e-01,1.000000e-01,nan,nan,nan
7.000000e-01,5.000000e-03,1.309642e+02,2.421132e+06,2.450486e-01
7.000000e-01,1.555556e-02,1.366822e+02,4.071214e+06,3.588178e-01
7.000000e-01,2.611111e-02,9.325462e+01,6.730357e+06,5.058751e-01
7.000000e-01,3.666667e-02,nan,nan,nan
7.000000e-01,4.722222e-02,nan,nan,nan
7.000000e-01,5.777778e-02,nan,nan,nan
7.000000e-01,6.833333e-02,nan,nan,nan
7.000000e-01,7.888889e-02,nan,nan,nan
7.000000e-01,8.944444e-02,nan,nan,nan
7.000000e-01,1.000000e-01,nan,nan,nan
