# Water Recovery,Feed Mass TDS,RO membrane area,Pump 1 pressure,Levelized Cost of Water
3.000000e-01,5.000000e-03,7.986197e+01,1.627572e+06,3.699582e-01
3.000000e-01,1.555556e-02,8.745657e+01,2.774114e+06,5.643483e-01
3.000000e-01,2.611111e-02,9.679264e+01,3.876333e+06,7.584414e-01
3.000000e-01,3.666667e-02,8.774397e+01,5.181908e+06,9.578466e-01
3.000000e-01,4.722222e-02,6.643159e+01,6.853186e+06,1.200116e+00
3.000000e-01,5.777778e-02,nan,nan,nan
3.000000e-01,6.833333e-02,nan,nan,nan
3.000000e-01,7.888889e-02,nan,nan,nan
3.000000e-01,8.944444e-02,nan,nan,nan
3.000000e-01,1.000000e-01,nan,nan,nan
4.000000e-01,5.000000e-03,9.302801e+01,1.827678e+06,3.172407e-01
4.000000e-01,1.555556e-02,1.031176e+02,3.075161e+06,4.782500e-01
4.000000e-01,2.611111e-02,1.234120e+02,4.151598e+06,6.349165e-01
4.000000e-01,3.666667e-02,1.095757e+02,5.562135e+06,7.913539e-01
4.000000e-01,4.722222e-02,8.195417e+01,7.448294e+06,9.915830e-01
4.000000e-01,5.777778e-02,nan,nan,nan
4.000000e-01,6.833333e-02,nan,nan,nan
4.000000e-01,7.888889e-02,nan,nan,nan
4.000000e-01,8.944444e-02,nan,nan,nan
4.000000e-01,1.000000e-01,nan,nan,nan
5.000000e-01,5.000000e-03,1.052042e+02,2.027931e+06,2.846262e-01
5.000000e-01,1.555556e-02,1.195818e+02,3.383965e+06,4.281219e-01
5.000000e-01,2.611111e-02,1.372985e+02,4.510719e+06,5.559429e-01
5.000000e-01,3.666667e-02,1.144933e+02,6.160872e+06,6.953854e-01
5.000000e-01,4.722222e-02,9.656706e+01,7.978246e+06,8.592444e-01
5.000000e-01,5.777778e-02,nan,nan,nan
5.000000e-01,6.833333e-02,nan,nan,nan
5.000000e-01,7.888889e-02,nan,nan,nan
5.000000e-01,8.944444e-02,nan,nan,nan
5.000000e-01,1.000000e-01,nan,nan,nan
6.000000e-01,5.000000e-03,1.170959e+02,2.247111e+06,2.641062e-01
6.000000e-01,1.555556e-02,1.500000e+02,3.553227e+06,3.955003e-01
6.000000e-01,2.611111e-02,1.153487e+02,5.502466e+06,5.232049e-01
6.000000e-01,3.666667e-02,9.464305e+01,7.588557e+06,6.767998e-01
6.000000e-01,4.722222e-02,nan,nan,nan
6.000000e-01,5.777778e-02,nan,nan,nan
6.000000e-01,6.833333e-02,nan,nan,nan
6.000000e-01,7.888889e-02,nan,nan,nan
6.000000e-01,8.944444e-02,nan,nan,nan
6.000000e-01,1.000000e-01,nan,nan,nan
7.000000e-01,5.000000e-03,1.296515e+02,2.514413e+06,2.531128e-01
7.000000e-01,1.555556e-02,1.269534e+02,4.431383e+06,3.812381e-01
7.000000e-01,2.611111e-02,8.998024e+01,7.199162e+06,5.450708e-01
7.000000e-01,3.666667e-02,nan,nan,nan
7.000000e-01,4.722222e-02,nan,nan,nan
7.000000e-01,5.777778e-02,nan,nan,nan
7.000000e-01,6.833333e-02,nan,nan,nan
7.000000e-01,7.888889e-02,nan,nan,nan
7.000000e-01,8.944444e-02,nan,nan,nan
7.000000e-01,1.000000e-01,nan,nan,nan
