# Water Recovery,LCOW,SEC,Evaporator area,Evaporator temperature,Evaporator pressure,Compressor pressure ratio
3.000000e-01,4.570627e+00,2.105668e+01,5.787565e+02,3.040354e+02,4.012726e+03,1.590447e+00
3.166667e-01,4.573281e+00,2.112972e+01,6.099857e+02,3.043612e+02,4.072945e+03,1.592780e+00
3.333333e-01,4.576752e+00,2.120880e+01,6.411057e+02,3.046894e+02,4.133499e+03,1.595303e+00
3.500000e-01,4.581062e+00,2.129445e+01,6.721123e+02,3.050204e+02,4.194330e+03,1.598037e+00
3.666667e-01,4.586248e+00,2.138727e+01,7.030005e+02,3.053544e+02,4.255359e+03,1.601006e+00
3.833333e-01,4.593126e+00,2.173136e+01,6.554525e+02,3.282135e+02,1.390767e+04,1.591633e+00
4.000000e-01,4.578080e+00,2.197880e+01,6.303954e+02,3.416189e+02,2.555006e+04,1.597737e+00
4.166667e-01,4.560501e+00,2.213056e+01,6.319340e+02,3.474170e+02,3.257962e+04,1.604838e+00
4.333333e-01,4.544681e+00,2.213844e+01,6.583543e+02,3.481500e+02,3.339932e+04,1.605582e+00
4.500000e-01,4.533215e+00,2.214869e+01,6.885500e+02,3.481500e+02,3.318734e+04,1.606054e+00
4.666667e-01,4.525904e+00,2.218881e+01,7.184748e+02,3.481500e+02,3.295937e+04,1.607573e+00
4.833333e-01,4.522593e+00,2.225905e+01,7.480965e+02,3.481500e+02,3.271366e+04,1.610152e+00
5.000000e-01,4.523217e+00,2.236030e+01,7.773765e+02,3.481500e+02,3.244824e+04,1.613828e+00
5.166667e-01,4.527798e+00,2.249418e+01,8.062678e+02,3.481500e+02,3.216084e+04,1.618668e+00
5.333333e-01,4.536450e+00,2.266309e+01,8.347115e+02,3.481500e+02,3.184887e+04,1.624769e+00
5.500000e-01,4.549386e+00,2.287036e+01,8.626329e+02,3.481500e+02,3.150932e+04,1.632268e+00
5.666667e-01,4.566931e+00,2.312036e+01,8.899364e+02,3.481500e+02,3.113873e+04,1.641344e+00
5.833333e-01,4.589540e+00,2.341885e+01,9.164985e+02,3.481500e+02,3.073307e+04,1.652236e+00
6.000000e-01,4.617830e+00,2.377319e+01,9.421575e+02,3.481500e+02,3.028766e+04,1.665256e+00
6.166667e-01,4.652618e+00,2.419290e+01,9.667004e+02,3.481500e+02,2.979702e+04,1.680813e+00
6.333333e-01,4.694976e+00,2.469022e+01,9.898422e+02,3.481500e+02,2.925471e+04,1.699450e+00
6.500000e-01,4.746320e+00,2.528107e+01,1.011196e+03,3.481500e+02,2.865317e+04,1.721888e+00
6.666667e-01,4.808524e+00,2.598628e+01,1.030226e+03,3.481500e+02,2.798345e+04,1.749113e+00
6.833333e-01,4.884105e+00,2.683365e+01,1.046164e+03,3.481500e+02,2.723498e+04,1.782491e+00
7.000000e-01,4.976515e+00,2.786112e+01,1.057855e+03,3.481500e+02,2.639523e+04,1.823987e+00
