# Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.000000e-01,8.700620e-01,5.661698e+00,7.037706e+01,4.948571e+06
3.100000e-01,8.528611e-01,5.546425e+00,7.155957e+01,5.008163e+06
3.200000e-01,8.367987e-01,5.439056e+00,7.272330e+01,5.068394e+06
3.300000e-01,8.217841e-01,5.338964e+00,7.386867e+01,5.129350e+06
3.400000e-01,8.077376e-01,5.245597e+00,7.499605e+01,5.191120e+06
3.500000e-01,7.945888e-01,5.158473e+00,7.610573e+01,5.253795e+06
3.600000e-01,7.822756e-01,5.077163e+00,7.719793e+01,5.317472e+06
3.700000e-01,7.707433e-01,5.001292e+00,7.827284e+01,5.382251e+06
3.800000e-01,7.599432e-01,4.930529e+00,7.933055e+01,5.448239e+06
3.900000e-01,7.498324e-01,4.864579e+00,8.037114e+01,5.515546e+06
4.000000e-01,7.403732e-01,4.803188e+00,8.139464e+01,5.584292e+06
4.100000e-01,7.315320e-01,4.746127e+00,8.240101e+01,5.654602e+06
4.200000e-01,7.232795e-01,4.693200e+00,8.339024e+01,5.726610e+06
4.300000e-01,7.155902e-01,4.644236e+00,8.436224e+01,5.800460e+06
4.400000e-01,7.084417e-01,4.599085e+00,8.531695e+01,5.876304e+06
4.500000e-01,7.018149e-01,4.557622e+00,8.625429e+01,5.954308e+06
4.600000e-01,6.956937e-01,4.519742e+00,8.717419e+01,6.034648e+06
4.700000e-01,6.900647e-01,4.485357e+00,8.807664e+01,6.117516e+06
4.800000e-01,6.849170e-01,4.454400e+00,8.896164e+01,6.203117e+06
4.900000e-01,6.802426e-01,4.426820e+00,8.982932e+01,6.291673e+06
5.000000e-01,6.760356e-01,4.402584e+00,9.067988e+01,6.383427e+06
5.100000e-01,6.722928e-01,4.381674e+00,9.151367e+01,6.478639e+06
5.200000e-01,6.690134e-01,4.364090e+00,9.233124e+01,6.577594e+06
5.300000e-01,6.661991e-01,4.349848e+00,9.313340e+01,6.680601e+06
5.400000e-01,6.638541e-01,4.338981e+00,9.392123e+01,6.787997e+06
5.500000e-01,6.619853e-01,4.331540e+00,9.469624e+01,6.900150e+06
5.600000e-01,6.606022e-01,4.327591e+00,9.546038e+01,7.017460e+06
5.700000e-01,6.597176e-01,4.327222e+00,9.621622e+01,7.140369e+06
5.800000e-01,6.593470e-01,4.330537e+00,9.696703e+01,7.269355e+06
5.900000e-01,6.595096e-01,4.337663e+00,9.771698e+01,7.404949e+06
6.000000e-01,6.602281e-01,4.348748e+00,9.847128e+01,7.547731e+06
6.100000e-01,6.615293e-01,4.363966e+00,9.923644e+01,7.698340e+06
6.200000e-01,6.634445e-01,4.383514e+00,1.000205e+02,7.857481e+06
6.300000e-01,6.660724e-01,4.393183e+00,1.033201e+02,8.000000e+06
6.400000e-01,nan,nan,nan,nan
6.500000e-01,nan,nan,nan,nan
6.600000e-01,nan,nan,nan,nan
6.700000e-01,nan,nan,nan,nan
6.800000e-01,nan,nan,nan,nan
6.900000e-01,nan,nan,nan,nan
7.000000e-01,nan,nan,nan,nan
