# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Osmotic Pressure
1.000000e-01,2.500000e-01,2.981500e+02,1.139499e+03,8.270175e+06
1.000000e-01,2.500000e-01,3.081500e+02,1.134981e+03,8.388201e+06
1.000000e-01,2.500000e-01,3.181500e+02,1.130315e+03,8.471046e+06
1.000000e-01,2.500000e-01,3.281500e+02,1.125466e+03,8.520253e+06
1.000000e-01,2.500000e-01,3.381500e+02,1.120431e+03,8.536972e+06
1.000000e-01,2.500000e-01,3.481500e+02,1.115224e+03,8.522043e+06
1.000000e-01,2.500000e-01,3.581500e+02,1.109866e+03,8.476059e+06
1.000000e-01,2.500000e-01,3.681500e+02,1.104389e+03,8.399407e+06
1.000000e-01,5.000000e-01,2.981500e+02,1.131828e+03,9.039583e+06
1.000000e-01,5.000000e-01,3.081500e+02,1.127262e+03,9.229696e+06
1.000000e-01,5.000000e-01,3.181500e+02,1.122548e+03,9.382924e+06
1.000000e-01,5.000000e-01,3.281500e+02,1.117649e+03,9.501478e+06
1.000000e-01,5.000000e-01,3.381500e+02,1.112559e+03,9.587008e+06
1.000000e-01,5.000000e-01,3.481500e+02,1.107289e+03,9.640722e+06
1.000000e-01,5.000000e-01,3.581500e+02,1.101860e+03,9.663477e+06
1.000000e-01,5.000000e-01,3.681500e+02,1.096299e+03,9.655847e+06
1.000000e-01,1.000000e+00,2.981500e+02,1.122317e+03,9.942176e+06
1.000000e-01,1.000000e+00,3.081500e+02,1.117694e+03,1.021585e+07
1.000000e-01,1.000000e+00,3.181500e+02,1.112922e+03,1.045049e+07
1.000000e-01,1.000000e+00,3.281500e+02,1.107962e+03,1.064912e+07
1.000000e-01,1.000000e+00,3.381500e+02,1.102806e+03,1.081397e+07
1.000000e-01,1.000000e+00,3.481500e+02,1.097460e+03,1.094666e+07
1.000000e-01,1.000000e+00,3.581500e+02,1.091944e+03,1.104833e+07
1.000000e-01,1.000000e+00,3.681500e+02,1.086282e+03,1.111972e+07
1.000000e-01,2.000000e+00,2.981500e+02,1.112892e+03,1.075883e+07
1.000000e-01,2.000000e+00,3.081500e+02,1.108213e+03,1.110626e+07
1.000000e-01,2.000000e+00,3.181500e+02,1.103385e+03,1.141245e+07
1.000000e-01,2.000000e+00,3.281500e+02,1.098367e+03,1.168121e+07
1.000000e-01,2.000000e+00,3.381500e+02,1.093147e+03,1.191532e+07
1.000000e-01,2.000000e+00,3.481500e+02,1.087729e+03,1.211676e+07
1.000000e-01,2.000000e+00,3.581500e+02,1.082130e+03,1.228689e+07
1.000000e-01,2.000000e+00,3.681500e+02,1.076370e+03,1.242656e+07
1.000000e-01,4.000000e+00,2.981500e+02,1.105413e+03,1.133533e+07
1.000000e-01,4.000000e+00,3.081500e+02,1.100690e+03,1.173272e+07
1.000000e-01,4.000000e+00,3.181500e+02,1.095820e+03,1.208703e+07
1.000000e-01,4.000000e+00,3.281500e+02,1.090757e+03,1.240268e+07
1.000000e-01,4.000000e+00,3.381500e+02,1.085487e+03,1.268289e+07
1.000000e-01,4.000000e+00,3.481500e+02,1.080013e+03,1.292988e+07
1.000000e-01,4.000000e+00,3.581500e+02,1.074350e+03,1.314515e+07
1.000000e-01,4.000000e+00,3.681500e+02,1.068515e+03,1.332963e+07
