# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
4.000000e-01,7.000000e-02,4.494838e+00,2.103493e+01,5.845322e+02,1.566286e+00,2.799232e+02,2.112031e+02,7.008425e+06,3.543339e+04
4.200000e-01,7.000000e-02,4.459204e+00,2.089076e+01,6.204408e+02,1.561548e+00,2.567152e+02,2.116064e+02,6.740318e+06,3.533892e+04
4.400000e-01,7.000000e-02,4.429298e+00,2.077733e+01,6.561691e+02,1.557861e+00,2.353008e+02,2.116171e+02,6.472377e+06,3.523717e+04
4.600000e-01,7.000000e-02,4.404335e+00,2.069113e+01,6.917161e+02,1.555097e+00,2.155184e+02,2.112726e+02,6.204619e+06,3.512729e+04
4.800000e-01,7.000000e-02,4.383703e+00,2.062953e+01,7.270823e+02,1.553164e+00,1.972201e+02,2.106025e+02,5.937062e+06,3.500827e+04
5.000000e-01,7.000000e-02,4.366931e+00,2.059069e+01,7.622682e+02,1.551997e+00,1.802716e+02,2.096297e+02,5.669727e+06,3.487895e+04
5.200000e-01,7.000000e-02,4.353661e+00,2.057341e+01,7.972734e+02,1.551556e+00,1.645511e+02,2.083704e+02,5.402637e+06,3.473796e+04
5.400000e-01,7.000000e-02,4.343638e+00,2.057711e+01,8.320960e+02,1.551819e+00,1.499487e+02,2.068345e+02,5.135818e+06,3.458368e+04
5.600000e-01,7.000000e-02,4.336696e+00,2.060180e+01,8.667308e+02,1.552790e+00,1.363649e+02,2.050254e+02,4.869299e+06,3.441417e+04
5.800000e-01,7.000000e-02,4.332753e+00,2.064814e+01,9.011687e+02,1.554493e+00,1.237101e+02,2.029398e+02,4.603114e+06,3.422709e+04
6.000000e-01,7.000000e-02,4.331818e+00,2.071748e+01,9.353946e+02,1.556977e+00,1.119032e+02,2.005674e+02,4.337300e+06,3.401960e+04
6.200000e-01,7.000000e-02,4.333990e+00,2.081198e+01,9.693852e+02,1.560321e+00,1.008710e+02,1.978895e+02,4.071901e+06,3.378822e+04
6.400000e-01,7.000000e-02,4.339477e+00,2.093486e+01,1.003106e+03,1.564643e+00,9.054703e+01,1.948780e+02,3.806966e+06,3.352860e+04
6.600000e-01,7.000000e-02,4.348624e+00,2.109064e+01,1.036503e+03,1.570109e+00,8.087055e+01,1.914935e+02,3.542550e+06,3.323529e+04
6.800000e-01,7.000000e-02,4.361948e+00,2.128574e+01,1.069501e+03,1.576954e+00,7.178567e+01,1.876817e+02,3.278721e+06,3.290129e+04
7.000000e-01,7.000000e-02,4.380209e+00,2.152913e+01,1.101982e+03,1.585514e+00,6.324005e+01,1.833696e+02,3.015553e+06,3.251749e+04
