# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
5.000000e-03,3.500000e-01,3.726923e-01,2.027815e+00,7.271103e+01,2.142341e+06
5.000000e-03,4.000000e-01,3.460349e-01,1.872471e+00,7.825637e+01,2.255223e+06
5.000000e-03,4.500000e-01,3.245206e-01,1.747711e+00,8.356844e+01,2.363010e+06
5.000000e-03,5.000000e-01,3.068539e-01,1.645882e+00,8.869270e+01,2.467891e+06
5.000000e-03,5.500000e-01,2.922100e-01,1.562193e+00,9.366235e+01,2.572182e+06
5.000000e-03,6.000000e-01,2.800698e-01,1.493756e+00,9.849920e+01,2.678722e+06
5.000000e-03,6.500000e-01,2.701469e-01,1.439210e+00,1.032088e+02,2.791548e+06
1.000000e-02,3.500000e-01,4.461246e-01,2.571082e+00,7.347575e+01,2.685241e+06
1.000000e-02,4.000000e-01,4.139185e-01,2.374744e+00,7.905615e+01,2.828865e+06
1.000000e-02,4.500000e-01,3.885634e-01,2.221807e+00,8.438754e+01,2.972193e+06
1.000000e-02,5.000000e-01,3.684001e-01,2.102014e+00,8.949898e+01,3.119193e+06
1.000000e-02,5.500000e-01,3.524427e-01,2.009546e+00,9.439297e+01,3.274950e+06
1.000000e-02,6.000000e-01,3.401807e-01,1.941871e+00,9.903275e+01,3.446873e+06
1.000000e-02,6.500000e-01,3.315381e-01,1.899739e+00,1.033099e+02,3.647041e+06
2.000000e-02,3.500000e-01,5.990524e-01,3.706254e+00,7.471078e+01,3.814520e+06
2.000000e-02,4.000000e-01,5.562436e-01,3.432818e+00,8.019607e+01,4.031891e+06
2.000000e-02,4.500000e-01,5.240087e-01,3.230992e+00,8.533841e+01,4.263239e+06
2.000000e-02,5.000000e-01,5.000492e-01,3.086026e+00,9.011685e+01,4.518197e+06
2.000000e-02,5.500000e-01,4.832124e-01,2.991184e+00,9.446414e+01,4.810576e+06
2.000000e-02,6.000000e-01,4.732628e-01,2.946287e+00,9.826433e+01,5.161595e+06
2.000000e-02,6.500000e-01,4.709618e-01,2.958263e+00,1.013856e+02,5.605592e+06
3.500000e-02,3.500000e-01,8.452905e-01,5.537616e+00,7.636131e+01,5.622263e+06
3.500000e-02,4.000000e-01,7.876382e-01,5.157062e+00,8.162150e+01,5.977356e+06
3.500000e-02,4.500000e-01,7.468553e-01,4.895153e+00,8.645985e+01,6.376140e+06
3.500000e-02,5.000000e-01,7.198074e-01,4.730651e+00,9.089520e+01,6.839064e+06
3.500000e-02,5.500000e-01,7.052939e-01,4.655648e+00,9.500008e+01,7.395364e+06
3.500000e-02,6.000000e-01,7.037670e-01,4.673162e+00,9.902769e+01,8.088449e+06
3.500000e-02,6.500000e-01,nan,nan,nan,nan
4.000000e-02,3.500000e-01,9.323784e-01,6.184942e+00,7.697883e+01,6.257231e+06
4.000000e-02,4.000000e-01,8.700186e-01,5.770154e+00,8.221058e+01,6.664824e+06
4.000000e-02,4.500000e-01,8.268029e-01,5.490658e+00,8.704577e+01,7.127607e+06
4.000000e-02,5.000000e-01,7.993329e-01,5.322961e+00,9.155737e+01,7.669888e+06
4.000000e-02,5.500000e-01,7.864205e-01,5.258693e+00,9.592819e+01,8.326273e+06
4.000000e-02,6.000000e-01,nan,nan,nan,nan
4.000000e-02,6.500000e-01,nan,nan,nan,nan
5.000000e-02,3.500000e-01,1.121081e+00,7.730086e+00,6.517869e+01,7.768261e+06
5.000000e-02,4.000000e-01,1.048915e+00,7.230933e+00,6.985846e+01,8.297737e+06
5.000000e-02,4.500000e-01,nan,nan,nan,nan
5.000000e-02,5.000000e-01,nan,nan,nan,nan
5.000000e-02,5.500000e-01,nan,nan,nan,nan
5.000000e-02,6.000000e-01,nan,nan,nan,nan
5.000000e-02,6.500000e-01,nan,nan,nan,nan
